,Open,High,Low,Close,Volume
2020-12-30,56.62,56.88,56.43,56.49,672840
2020-12-31,56.56,56.62,56.04,56.3,957350
2021-01-04,57.14,58.12,56.62,57.73,1362600
2021-01-05,57.21,58.64,56.3,58.51,1262700
2021-01-06,59.16,59.74,58.51,58.77,1161900
2021-01-07,59.16,60.33,57.99,60.26,1446600
2021-01-08,60.26,60.65,59.61,60.26,934700
2021-01-11,60.46,61.56,60.26,60.65,743600
2021-01-12,60.65,61.04,59.81,60.85,949100
2021-01-13,61.5,61.5,60.26,60.46,1091600
2021-01-14,60.2,60.46,59.48,59.87,775000
2021-01-15,60.46,60.65,58.83,59.55,1767000
2021-01-18,59.81,59.81,58.44,58.9,972000
2021-01-19,58.9,58.9,54.8,55.26,1158400
2021-01-20,55.91,56.23,52.14,56.23,1022600
2021-01-21,56.88,57.14,56.23,56.88,966400
2021-01-22,56.88,57.21,56.17,56.3,1062200
2021-01-25,56.1,56.36,55.0,55.06,1225400
2021-01-26,55.13,55.13,52.66,54.15,1329100
2021-01-27,54.15,54.15,51.36,51.36,940900
2021-01-28,48.11,50.71,47.78,47.78,1569900
2021-01-29,47.78,50.71,47.13,49.6,902600
2021-02-01,49.93,50.51,48.43,48.89,670300
2021-02-02,48.89,50.06,48.63,49.73,934100
2021-02-03,51.03,52.01,50.71,52.01,874500
2021-02-04,52.66,53.11,51.88,52.66,790800
2021-02-05,53.44,53.96,52.79,52.79,799000
2021-02-08,53.83,53.89,50.12,51.36,1695100
2021-02-09,51.68,52.85,50.71,52.85,1216500
2021-02-17,55.26,56.49,54.28,56.49,1923100
2021-02-18,57.79,58.83,56.75,58.57,2259700
2021-02-19,57.21,58.18,57.21,57.79,1134700
2021-02-22,57.21,57.99,56.62,57.34,1156500
2021-02-23,58.51,58.7,57.6,58.12,1546200
2021-02-24,57.86,57.86,56.56,57.27,820100
2021-02-25,57.86,58.12,57.34,57.99,1366000
2021-02-26,56.69,58.05,56.69,58.05,872900
2021-03-01,58.7,59.74,58.12,59.74,1661100
2021-03-02,59.81,60.78,59.16,59.16,1386700
2021-03-03,59.16,59.48,58.64,59.16,696900
2021-03-04,59.29,59.81,57.86,59.09,1325100
2021-03-05,59.94,60.91,58.83,60.13,1469200
2021-03-08,61.76,62.41,60.91,61.76,1649000
2021-03-09,61.63,61.63,59.16,60.91,696100
2021-03-10,60.52,60.52,59.16,59.81,995600
2021-03-11,60.46,60.46,59.81,60.26,337200
2021-03-12,60.46,60.46,59.09,59.22,398400
2021-03-15,59.48,59.81,59.22,59.22,398200
2021-03-16,59.22,59.48,58.31,58.7,893400
2021-03-17,58.77,61.76,58.25,60.33,798700
